Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], |Z0| [Ohm] , Arg(Z0) [-]
1.271600e+09, 1.324200e-01, 7.167280e-01, 7.253780e-01, 2.540321e+00, -3.479445e-01, -5.112718e-01, 7.843786e-11, 4.257168e-11, 6.543151e-11, 6.218046e+01, -1.513259e-01
1.275400e+09, 1.324604e-01, 7.167135e-01, 7.253643e-01, 2.538448e+00, -3.489610e-01, -5.128341e-01, 7.855453e-11, 4.255076e-11, 6.541483e-11, 6.216658e+01, -1.517797e-01
1.279200e+09, 1.325011e-01, 7.166991e-01, 7.253508e-01, 2.536573e+00, -3.499769e-01, -5.143959e-01, 7.868008e-11, 4.252980e-11, 6.539956e-11, 6.215265e+01, -1.522341e-01
1.283000e+09, 1.325421e-01, 7.166847e-01, 7.253377e-01, 2.534694e+00, -3.509924e-01, -5.159574e-01, 7.881367e-11, 4.250891e-11, 6.538593e-11, 6.213866e+01, -1.526891e-01
1.286800e+09, 1.325833e-01, 7.166703e-01, 7.253249e-01, 2.532812e+00, -3.520073e-01, -5.175186e-01, 7.895444e-11, 4.248824e-11, 6.537417e-11, 6.212461e+01, -1.531448e-01
1.290600e+09, 1.326247e-01, 7.166561e-01, 7.253124e-01, 2.530927e+00, -3.530218e-01, -5.190795e-01, 7.910146e-11, 4.246791e-11, 6.536447e-11, 6.211050e+01, -1.536011e-01
1.294400e+09, 1.326663e-01, 7.166420e-01, 7.253005e-01, 2.529039e+00, -3.540357e-01, -5.206401e-01, 7.925380e-11, 4.244807e-11, 6.535703e-11, 6.209631e+01, -1.540581e-01
1.298200e+09, 1.327081e-01, 7.166281e-01, 7.252890e-01, 2.527146e+00, -3.550492e-01, -5.222006e-01, 7.941049e-11, 4.242882e-11, 6.535200e-11, 6.208204e+01, -1.545156e-01
1.302000e+09, 1.327499e-01, 7.166144e-01, 7.252780e-01, 2.525250e+00, -3.560623e-01, -5.237609e-01, 7.957058e-11, 4.241028e-11, 6.534956e-11, 6.206768e+01, -1.549738e-01
1.305800e+09, 1.327918e-01, 7.166009e-01, 7.252676e-01, 2.523350e+00, -3.570749e-01, -5.253212e-01, 7.973306e-11, 4.239257e-11, 6.534984e-11, 6.205324e+01, -1.554324e-01
1.309600e+09, 1.328337e-01, 7.165876e-01, 7.252578e-01, 2.521447e+00, -3.580870e-01, -5.268815e-01, 7.989695e-11, 4.237579e-11, 6.535296e-11, 6.203871e+01, -1.558916e-01
1.313400e+09, 1.328755e-01, 7.165746e-01, 7.252486e-01, 2.519539e+00, -3.590988e-01, -5.284419e-01, 8.006128e-11, 4.236004e-11, 6.535903e-11, 6.202408e+01, -1.563512e-01
1.317200e+09, 1.329174e-01, 7.165619e-01, 7.252401e-01, 2.517627e+00, -3.601102e-01, -5.300024e-01, 8.022506e-11, 4.234540e-11, 6.536813e-11, 6.200934e+01, -1.568112e-01
1.321000e+09, 1.329591e-01, 7.165494e-01, 7.252322e-01, 2.515712e+00, -3.611212e-01, -5.315632e-01, 8.038735e-11, 4.233196e-11, 6.538032e-11, 6.199450e+01, -1.572716e-01
1.324800e+09, 1.330006e-01, 7.165373e-01, 7.252250e-01, 2.513793e+00, -3.621320e-01, -5.331242e-01, 8.054721e-11, 4.231977e-11, 6.539565e-11, 6.197955e+01, -1.577323e-01
1.328600e+09, 1.330420e-01, 7.165255e-01, 7.252185e-01, 2.511870e+00, -3.631424e-01, -5.346856e-01, 8.070374e-11, 4.230891e-11, 6.541414e-11, 6.196449e+01, -1.581932e-01
1.332400e+09, 1.330832e-01, 7.165141e-01, 7.252127e-01, 2.509943e+00, -3.641526e-01, -5.362474e-01, 8.085605e-11, 4.229943e-11, 6.543581e-11, 6.194931e+01, -1.586542e-01
1.336200e+09, 1.331241e-01, 7.165030e-01, 7.252075e-01, 2.508012e+00, -3.651625e-01, -5.378098e-01, 8.100333e-11, 4.229135e-11, 6.546063e-11, 6.193401e+01, -1.591154e-01
1.340000e+09, 1.331647e-01, 7.164922e-01, 7.252031e-01, 2.506078e+00, -3.661723e-01, -5.393727e-01, 8.114478e-11, 4.228472e-11, 6.548858e-11, 6.191859e+01, -1.595765e-01
1.343800e+09, 1.332050e-01, 7.164818e-01, 7.251994e-01, 2.504141e+00, -3.671819e-01, -5.409363e-01, 8.127966e-11, 4.227956e-11, 6.551961e-11, 6.190305e+01, -1.600376e-01
1.347600e+09, 1.332450e-01, 7.164718e-01, 7.251963e-01, 2.502200e+00, -3.681913e-01, -5.425007e-01, 8.140728e-11, 4.227586e-11, 6.555364e-11, 6.188739e+01, -1.604985e-01
1.351400e+09, 1.332846e-01, 7.164622e-01, 7.251939e-01, 2.500256e+00, -3.692007e-01, -5.440658e-01, 8.152700e-11, 4.227363e-11, 6.559058e-11, 6.187160e+01, -1.609593e-01
1.355200e+09, 1.333238e-01, 7.164530e-01, 7.251921e-01, 2.498310e+00, -3.702100e-01, -5.456319e-01, 8.163825e-11, 4.227286e-11, 6.563034e-11, 6.185568e+01, -1.614197e-01
